Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;2;CAMPINAS;SP;03/2025;373.251;0;812.367;19.468.928;0;0;20.654.547;1.971;0;0;4.394.131;0;0;4.394.131;445.554;25.496.202;48.203;4.842.611;534.438;30.921.455;2.673.124;33.594.579
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2025;986.082;0;363.684;4.386.116;0;217.022;5.952.904;3.907.681;0;0;85.988;0;800.874;886.862;10.276.007;21.023.453;3.736.650;2.442.417;2.415.810;29.618.331;3.894.876;33.513.207
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;03/2025;206.506;0;593.120;17.582.824;0;0;18.382.450;500.000;883.512;7.255.286;223.451;0;-451.989;7.910.260;465;26.793.174;150.753;342.165;1.465.413;28.751.506;1.201.307;29.952.812
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;03/2025;320.506;0;65.000;1.646.376;0;0;2.031.882;3.434.636;66.444;8.657.651;1.886.422;0;-102.403;10.508.114;8.007.258;23.981.890;2.517.432;815.041;900.875;28.215.237;1.472.537;29.687.774
PICPAY - PRUDENCIAL;1000088022;b1;S3;C;2;SAO PAULO;SP;03/2025;42.078;0;42.889;20.244.311;662.972;36.675;21.028.925;0;0;0;0;0;0;0;0;21.028.925;6.915;5.662.482;0;26.698.321;2.862.215;29.560.537
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;03/2025;0;0;2.221.316;2.259.396;0;0;4.480.713;0;0;5.637.759;5.082.934;0;0;10.720.693;8.367.900;23.569.305;19.381;1.254.908;825.282;25.668.876;3.032.329;28.701.205
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2025;230;0;0;0;0;0;230;0;0;0;0;0;0;0;0;230;0;10.358.078;0;10.358.307;17.608.145;27.966.453
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;03/2025;451.801;115.005;458.919;18.433.858;0;4.065;19.463.648;0;0;12;2.823.108;0;1.003.004;3.826.124;103.315;23.393.087;0;1.631.986;839.778;25.864.850;1.932.632;27.797.483
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;03/2025;0;0;0;29.173;0;0;29.173;0;0;0;0;0;0;0;595.291;624.464;0;24.750.126;0;25.374.590;1.538.688;26.913.278
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;03/2025;0;0;0;114.834;0;0;114.834;0;0;386.922;42.304;0;276.251;705.477;18.801.394;19.621.705;694;1.676.668;0;21.299.067;4.671.782;25.970.849
