Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2023;128.022;0;703.884;92.444;342.020;635.057;1.901.427;-706.858;-24.392;0;0;-88;-731.339;1.170.088;527.456;6.332;-493.704;-188.440;-80.687;0;24.960;-287.391;-491.475;678.613;-404;678.210;-146.111;0;532.099;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;12/2023;1.632.936;50.491;68.775;48.606;0;0;1.800.807;-878.698;-409.085;-42.094;0;-491.399;-1.821.276;-20.468;3.459;137;-35.304;-68.074;-27.165;0;130.408;-30.727;-27.265;-47.734;-3.777;-51.511;90.403;-3.387;35.505;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;12/2023;335.011;0;1.331.332;-13.749;29.263;0;1.681.858;-326.023;-916.924;0;0;5.415;-1.237.532;444.326;313.018;0;-541.506;-124.241;-44.019;-37.330;94.416;-124.653;-464.317;-19.991;-223;-20.214;57.272;0;37.057;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;12/2023;1.400.751;0;139.459;0;12.294;19.024;1.571.528;-562.689;-3.790;0;0;-157.941;-724.420;847.107;26.087;83.688;-337.660;-266.584;-56.581;0;24.304;-35.434;-562.180;284.927;-4.083;280.844;-88.180;-26.629;166.035;0
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;12/2023;1.284.082;0;222.434;0;2.642;0;1.509.158;-12.110;0;0;0;-250.295;-262.405;1.246.753;12.690;19.896;-61.517;-880.583;-94.401;0;453.078;-392.814;-943.650;303.103;-20;303.083;-96.444;-2.899;203.740;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;12/2023;842.640;0;497.492;82.563;82.032;0;1.504.726;-1.608.309;-539.790;0;0;-22.090;-2.170.189;-665.463;58.311;24.938;-69.947;-57.817;-25.683;14.734;1.515.048;-499.618;959.966;294.503;528;295.031;-93.107;-57.064;144.860;0
PAGBANK-PAGSEGURO;52182;b1;S4;C;2;SAO PAULO;SP;12/2023;1.459.730;0;83.963;-88.994;0;21.750;1.476.449;-1.159.067;0;0;0;-26.964;-1.186.031;290.419;27.800;0;-23.666;-42.644;-74.121;0;1.312;-136.971;-248.291;42.128;-39;42.088;-8.108;-20.902;13.079;0
PORTO SEGURO;51444;n1;S3;C;2;SAO PAULO;SP;12/2023;1.455.688;0;12.110;5.447;0;0;1.473.245;-261.309;0;0;0;-914.858;-1.176.168;297.078;416.825;205.616;-45.535;-352.283;-85.250;4.753;37.850;-388.284;-206.307;90.771;439;91.210;-15.588;-7.009;68.613;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2023;1.336.945;18.076;31.749;20.371;0;0;1.407.141;-652.258;-399.100;-11.196;0;-50.217;-1.112.771;294.370;0;10.648;-51.131;-77.280;-18.787;0;44.896;-22.684;-114.340;180.030;-79.994;100.035;-43.099;0;56.936;0
OMNI;50940;b1;S4;C;2;SAO PAULO;SP;12/2023;1.250.962;3.429;101.015;-2.576;0;0;1.352.829;-403.175;-11.131;-3.096;0;-354.747;-772.148;580.680;30.715;92.366;-61.225;-199.338;-40.904;1.232;31.921;-514.693;-659.927;-79.247;-200;-79.447;30.204;0;-49.243;0
