Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;C;3;SAO PAULO;SP;03/2024;13.073.222;11.144.225;9.902.839;9.534.827;3.170.383;72.787;1.954.856;17,82%;0,04%;4;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;03/2024;13.011.761;8.448.495;10.291.231;9.395.293;2.720.530;89.829;2.720.528;22,23%;1,59%;0;115
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;03/2024;12.986.123;10.642.795;9.778.997;7.963.258;3.207.126;150.125;2.814.114;27,85%;2,37%;3;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;03/2024;12.183.241;5.014.569;10.723.882;9.511.244;1.459.359;54.286;1.432.469;14,43%;7,27%;0;43
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;03/2024;12.079.978;10.203.715;10.755.137;10.075.134;1.324.841;61.766;1.296.661;13,79%;2,23%;3;0
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;03/2024;11.653.764;1.578.569;10.737.726;4.815.167;916.037;21.975;842.345;16,10%;30,39%;4;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;03/2024;11.506.787;31.674;11.073.307;7.186.658;433.480;15.125;433.333;15,44%;21,82%;0;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;03/2024;11.377.876;6.896.473;6.469.342;5.005.613;4.908.534;113.983;2.752.747;34,14%;0,22%;5;0
WILL IP - PRUDENCIAL;1000084600;n1;S4;C;2;SAO PAULO;SP;03/2024;11.143.962;7.768.189;11.195.767;5.930.468;-51.805;19.029;-591.121;-6,87%;NA%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S4;I;2;MARINGA;PR;03/2024;11.042.469;5.870.859;9.902.340;5.604.545;1.140.129;20.746;1.218.180;15,84%;28,72%;0;113
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;03/2024;11.030.722;6.082.061;9.645.109;5.160.137;1.385.614;41.745;1.409.963;15,93%;7,55%;0;36
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;03/2024;10.968.354;476.067;10.240.521;9.110.363;727.833;13.062;754.769;17,82%;3,64%;2;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;03/2024;10.492.241;4.825.193;2.923.398;2.804.023;7.568.843;38.269;1.577.159;43,93%;1,61%;63;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;03/2024;10.474.143;4.636.667;9.757.557;8.575.142;716.586;17.430;709.750;13,11%;12,55%;65;9
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;03/2024;10.261.954;7.161.456;9.021.326;8.832.161;1.240.628;18.480;963.012;17,15%;9,69%;4;0
CLOUDWALK IP - PRUDENCIAL;1000086581;n4;;C;3;SAO PAULO;SP;03/2024;9.918.084;0;6.067.802;320.939;3.850.281;156.047;849.747;43,13%;NA%;1;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;03/2024;9.884.158;146.000;9.291.804;262.432;592.354;11.770;494.253;20,69%;3,88%;0;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S3;I;2;BLUMENAU;SC;03/2024;9.559.657;768.156;8.846.522;1.778.995;713.135;0;458.723;32,99%;6,26%;0;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;03/2024;9.477.652;2.346.801;7.102.882;6.078.656;2.374.769;45.786;2.357.324;30,01%;0,13%;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;03/2024;9.354.709;0;7.658.279;0;1.696.429;0;298.936;32,77%;0,41%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;03/2024;9.257.435;6.056.679;8.342.426;5.065.905;915.009;27.200;1.034.252;14,89%;7,53%;0;95
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;03/2024;8.938.262;5.439.199;7.911.365;4.559.674;1.026.896;42.810;1.151.276;17,72%;19,79%;0;92
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;03/2024;8.885.218;5.986.854;6.716.719;5.298.376;2.168.499;30.615;1.811.212;25,23%;0,84%;2;0
NEON PAGAMENTOS IP - PRUDENCIAL;1000085702;n1;S4;C;2;SAO PAULO;SP;03/2024;8.724.928;5.421.514;7.099.736;3.886.501;1.625.192;-161.678;613.364;12,49%;NA%;5;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S4;I;2;CHAPECO;SC;03/2024;8.609.624;5.410.778;7.602.081;6.600.791;1.007.543;40.946;1.006.963;15,30%;9,08%;0;101
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;03/2024;8.589.765;4.204.483;7.734.548;5.425.749;855.217;52.943;883.454;17,05%;12,19%;0;44
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;I;2;LINHARES;ES;03/2024;8.436.053;4.825.424;6.784.380;5.628.170;1.651.672;112.445;1.542.547;26,99%;4,68%;0;44
