Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;09/2025;11.553.133;6.819.595;3.041.578;10.163.084;6.849.728;1.390.049;82.347;1.569.482;19,91%;23,63%;0;100
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S4;I;2;PORTO ALEGRE;RS;09/2025;11.426.362;0;9.688.466;8.785.916;0;2.640.446;0;379.698;21,21%;0,51%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;09/2025;11.265.120;6.125.061;4.079.223;10.056.975;7.412.194;1.208.145;87.938;1.287.370;17,89%;10,78%;0;53
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;09/2025;11.135.660;4.890.341;979.945;3.581.026;3.443.555;7.554.634;96.666;1.683.801;55,31%;1,15%;61;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;09/2025;11.038.083;5.515.395;4.328.829;9.879.416;8.010.435;1.158.667;54.670;1.154.701;19,34%;8,03%;0;58
NEON PAGAMENTOS IP - PRUDENCIAL;1000085702;n1;S4;C;2;SAO PAULO;SP;09/2025;11.036.729;5.576.735;1.401.857;9.710.644;6.467.469;1.326.085;-16.645;654.045;12,26%;NA%;5;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S4;I;2;CHAPECO;SC;09/2025;10.334.186;6.675.409;163.016;9.122.176;7.711.248;1.212.010;12.494;1.228.043;15,82%;6,82%;0;102
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;09/2025;9.932.666;6.733.710;83.228;8.880.546;8.038.780;1.052.120;-80.942;1.116.381;16,05%;6,53%;0;111
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;2398976;b3S;S4;I;2;LONDRINA;PR;09/2025;9.918.409;5.172.503;3.755.352;8.265.663;8.002.357;1.652.746;54.365;1.638.968;21,78%;3,51%;0;50
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;09/2025;9.639.708;4.634.170;1.671.276;2.776.283;861.678;6.863.425;73.783;6.752.964;51,22%;0,79%;6;1.188
SEM PARAR IP - PRUDENCIAL;1000086158;n1;S5;C;3;SAO PAULO;SP;09/2025;9.572.459;191.500;1.948.881;4.571.416;1.300.889;5.001.042;243.866;-1.518.074;-41,26%;NA%;3;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;09/2025;9.533.968;2.707.803;3.543.998;7.492.957;6.443.425;2.041.012;-161.810;2.153.112;30,16%;0,97%;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;SANTA ROSA;RS;09/2025;9.522.043;6.043.769;2.278.350;8.364.430;4.920.825;1.157.614;43.988;1.134.346;15,91%;11,12%;0;74
BANCO DIGIMAIS - PRUDENCIAL;1000081799;b1;S4;C;3;SAO PAULO;SP;09/2025;9.297.564;1.920.212;2.285.589;8.877.060;8.222.390;420.504;-252.606;757.655;12,02%;56,82%;3;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;09/2025;8.960.649;4.580.792;246.741;7.637.394;7.011.562;1.323.255;42.084;1.341.664;25,97%;1,18%;0;55
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;09/2025;8.724.419;4.986.528;2.246.261;7.575.118;5.155.169;1.149.302;63.442;1.231.982;18,88%;12,29%;0;98
BANCO PACCAR - PRUDENCIAL;1000084899;b2;S4;I;3;PONTA GROSSA;PR;09/2025;8.506.413;7.969.601;0;6.163.046;6.026.757;2.343.367;11.547;2.375.242;29,17%;0,02%;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S4;I;2;CURITIBA;PR;09/2025;8.445.542;0;7.076.848;6.517.376;7.589;1.928.166;0;316.985;24,86%;1,14%;0;0
ALELO IP - PRUDENCIAL;1000087580;n4;NA;C;2;BARUERI;SP;09/2025;8.434.632;883.614;10.697;7.162.050;6.078.025;1.272.582;185.924;827.339;23,66%;NA%;1;0
HAITONG - PRUDENCIAL;1000080666;b2;S4;C;3;SAO PAULO;SP;09/2025;8.376.123;211.963;7.040.133;7.815.343;7.529.200;560.779;-17.278;256.477;23,72%;3,10%;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL E BAHIA - SICREDI CENTRO-SUL MS/BA;26408161;b3S;S4;I;2;DOURADOS;MS;09/2025;8.344.599;5.209.765;1.991.496;7.152.526;4.584.095;1.192.074;23.407;1.205.282;20,57%;11,10%;0;54
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S4;I;3;SAO PAULO;SP;09/2025;7.995.881;286.674;948.948;6.261.917;3.841.374;1.733.965;17.795;1.708.113;32,98%;0,38%;2;0
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;09/2025;7.987.285;2.793.672;1.566.733;7.020.190;5.791.167;967.094;47.280;775.660;14,48%;38,30%;4;0
