Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;12/2024;1.991.949;42.174;57.460;-24.428;0;0;2.067.156;-824.300;-698.776;-35.893;0;-638.967;-2.197.936;-130.780;5.390;97;-30.851;-89.883;-27.948;0;153.290;-14.654;-4.560;-135.340;-588;-135.929;143.304;-3.106;4.270;0
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;12/2024;1.772.621;0;187.927;0;492;0;1.961.039;-15.893;0;0;0;-428.803;-444.696;1.516.343;16.572;26.141;-75.917;-1.128.054;-131.087;0;617.442;-354.386;-1.029.289;487.054;-84;486.970;-140.407;-2.750;343.813;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;b1;S3;C;3;SAO PAULO;SP;12/2024;173.997;0;394.782;42.103;1.271.395;0;1.882.278;-116.189;-1.649.856;0;0;-1.301;-1.767.346;114.932;50.212;0;-60.646;-50.436;-17.990;0;110.630;-45.235;-13.465;101.466;364;101.830;7.212;-2.173;106.869;0
PICPAY - FINANCEIRO;52632;b1;S3;C;2;SAO PAULO;SP;12/2024;1.221.928;0;516.730;127.602;0;169;1.866.429;-836.541;0;0;0;-408.415;-1.244.956;621.473;248.333;47.124;-119.366;-23.370;-74.846;0;125.272;-641.699;-438.552;182.920;-370;182.550;-52.765;-35.243;94.543;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;12/2024;42.358;0;858.175;811.275;70.089;0;1.781.896;-395.416;-1.088.039;0;0;-10;-1.483.465;298.432;267.581;0;-385.546;-109.332;-62.252;0;557.609;-37.592;230.468;528.900;0;528.900;-30.091;-11.572;487.237;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;12/2024;837.297;60.619;320.757;-110.551;646.661;13;1.754.795;-608.775;-999.859;-44.718;0;11.442;-1.641.910;112.885;15.859;585;-81.189;-59.952;-10.748;-3.390;217.651;-149.687;-70.871;42.014;-25.163;16.851;-52.377;-2.105;-37.631;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;S4;I;3;SAO PAULO;SP;12/2024;45.877;0;562.101;777.323;350.668;0;1.735.968;-305.833;-1.254.616;0;0;343;-1.560.106;175.862;27.007;10;-35.875;-31.692;-15.886;0;13.019;-33.165;-76.581;99.280;0;99.280;-10.973;-1.687;86.621;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;12/2024;1.560.091;0;124.836;0;13.479;23.722;1.722.127;-558.432;-19.281;0;0;-226.670;-804.383;917.744;24.479;90.357;-402.804;-292.478;-63.017;0;63.839;-77.675;-657.298;260.446;-6.136;254.310;-48.852;-37.358;168.099;0
PAGBANK-PAGSEGURO;52182;b1;S4;C;2;SAO PAULO;SP;12/2024;1.822.654;0;59.428;-323.379;0;146.970;1.705.674;-1.466.408;0;0;0;-429;-1.466.837;238.837;37.267;0;-41.544;-81.025;-100.635;0;70.054;-84.168;-200.052;38.784;-60;38.724;-7.546;-13.981;17.196;0
BANCO JOHN DEERE S.A.;91884981;b1;S3;I;3;INDAIATUBA;SP;12/2024;1.600.407;0;33.042;0;0;0;1.633.449;-208.165;-1.035.411;0;0;-463.549;-1.707.125;-73.676;6.199;457;-34.365;-32.243;-18.933;0;5.661;-417;-73.641;-147.317;6.217;-141.101;145.891;-3.889;902;0
