Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;;I;3;CURITIBA;PR;09/2023;2.339.072;0;2.339.072;675.301;3.014.373;21.821.817;81.260;0;0;0;62.490;143.750;1.256.787;0;23.222.353;23.459.243;10,07%;10,07%;12,98%;580.559;9,97%;0,10%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;;C;3;SAO PAULO;SP;09/2023;5.063.006;0;5.063.006;0;5.063.006;6.877.398;535.324;0;9.749.255;0;876.873;11.161.452;4.523.919;0;22.562.769;36.747.918;22,44%;22,44%;22,44%;564.069;13,78%;1,79%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;;C;3;SAO PAULO;SP;09/2023;5.340.205;0;5.340.205;0;5.340.205;5.567.075;1.234.088;1.255.993;5.566.744;2.598.371;1.983.056;12.638.253;3.141.436;0;21.346.764;19.924.180;25,02%;25,02%;25,02%;1.067.338;26,80%;1,70%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;;C;3;SAO BERNARDO DO CAMPO;SP;09/2023;2.364.081;0;2.364.081;0;2.364.081;18.258.030;0;0;0;0;0;0;1.092.823;0;19.350.854;19.598.616;12,22%;12,22%;12,22%;483.771;12,06%;0,77%
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;;I;3;INDAIATUBA;SP;09/2023;2.167.553;0;2.167.553;0;2.167.553;18.316.900;296.934;0;0;0;0;296.934;703.648;0;19.317.481;22.826.937;11,22%;11,22%;11,22%;482.937;9,50%;0,19%
STONE IP - PRUDENCIAL;1000084686;n1;S4;3;C;3;SAO PAULO;SP;09/2023;1.727.217;0;1.727.217;0;1.727.217;3.878.059;39.091;0;0;0;125;39.216;1.122.583;10.928.963;15.968.820;NA;10,82%;10,82%;10,82%;0;NA%;NA%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;;C;3;SAO PAULO;SP;09/2023;2.989.080;0;2.989.080;0;2.989.080;3.956.488;240.596;1.797;4.523.908;825.529;3.871.136;9.462.965;2.544.934;0;15.964.388;25.795.335;18,72%;18,72%;18,72%;399.110;11,59%;0,78%
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;1;C;2;RIO DE JANEIRO;RJ;09/2023;1.823.431;17.183;1.840.614;0;1.840.614;12.410.525;378.036;0;103.641;856.797;153.979;1.492.453;1.965.662;0;15.868.641;31.843.770;11,49%;11,60%;11,60%;396.716;5,78%;25,55%
ALFA - PRUDENCIAL;1000080570;b1;S3;;C;2;SAO PAULO;SP;09/2023;2.727.694;0;2.727.694;0;2.727.694;13.839.138;159.935;0;213.704;5.602;34.466;413.707;1.222.279;0;15.475.123;23.460.465;17,63%;17,63%;17,63%;386.878;11,63%;16,06%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;09/2023;1.393.958;0;1.393.958;644.765;2.038.722;14.231.862;28.009;0;2.827;0;16.126;46.962;1.133.160;0;15.411.984;NA;9,04%;9,04%;13,23%;385.300;NA%;7,37%
VOLVO - PRUDENCIAL;1000080769;b2;S3;;C;3;CURITIBA;PR;09/2023;2.652.047;0;2.652.047;0;2.652.047;13.509.906;0;0;0;0;0;0;949.652;0;14.459.557;14.975.909;18,34%;18,34%;18,34%;361.489;17,71%;5,91%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;1;I;2;SAO PAULO;SP;09/2023;2.303.247;0;2.303.247;0;2.303.247;12.614.207;32.546;12.084;0;0;0;44.630;1.222.337;0;13.881.174;19.639.122;16,59%;16,59%;16,59%;694.059;11,73%;10,55%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;3;C;3;OSASCO;SP;09/2023;2.494.349;0;2.494.349;0;2.494.349;8.623.807;100.395;0;0;0;6.530;106.925;0;5.033.908;13.764.640;NA;18,12%;18,12%;18,12%;0;NA%;NA%
BOCOM - PRUDENCIAL;1000084624;b1;S3;;C;3;SALVADOR;BA;09/2023;1.122.956;204.786;1.327.743;571.641;1.899.384;11.828.292;103.211;0;313.028;0;76.848;493.086;1.252.058;0;13.573.436;25.349.150;8,27%;9,78%;13,99%;339.336;5,24%;0,68%
CCB - PRUDENCIAL;1000080295;b1;S3;1;C;3;SAO PAULO;SP;09/2023;1.625.817;851.292;2.477.109;0;2.477.109;11.766.853;9.088;0;45.178;0;1.356;55.622;1.310.934;0;13.133.409;16.278.427;12,38%;18,86%;18,86%;328.335;15,22%;0,33%
BANESTES - PRUDENCIAL;1000080147;b1;S3;1;C;1;VITORIA;ES;09/2023;1.972.536;0;1.972.536;0;1.972.536;10.843.352;2.958;1.087;27.527;966;0;32.539;2.198.795;0;13.074.686;27.539.268;15,09%;15,09%;15,09%;326.867;7,16%;12,05%
