Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;;C;2;SAO PAULO;SP;09/2024;6.790.718;0;6.790.718;0;6.790.718;6.607.747;169.434;0;3.042.145;1.147.913;1.586.445;5.039.731;10.985.667;5.235.127;0;22.828.542;35.960.188;29,75%;29,75%;29,75%;570.714;18,88%;0,65%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;;I;2;CURITIBA;PR;09/2024;2.487.689;0;2.487.689;769.719;3.257.407;20.283.328;249.079;0;0;0;69.076;0;318.155;1.540.601;0;22.142.084;25.715.974;11,24%;11,24%;14,71%;553.552;9,67%;0,11%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;3;C;2;OSASCO;SP;09/2024;2.716.615;0;2.716.615;0;2.716.615;12.256.224;530.704;0;0;0;4.093;0;534.797;2.492.192;6.521.768;21.804.982;NA;12,46%;12,46%;12,46%;272.562;NA%;NA%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;;C;1;PORTO ALEGRE;RS;09/2024;4.512.978;0;4.512.978;0;4.512.978;19.189.647;14.913;0;52.801;0;89;0;67.803;1.865.520;0;21.122.970;26.817.412;21,37%;21,37%;21,37%;528.074;16,83%;0,89%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;;C;2;SAO BERNARDO DO CAMPO;SP;09/2024;2.517.936;0;2.517.936;0;2.517.936;17.178.524;0;0;0;0;0;0;0;1.128.752;0;18.307.276;20.228.476;13,75%;13,75%;13,75%;457.682;12,45%;0,56%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;09/2024;1.441.277;194.420;1.635.697;647.143;2.282.840;16.460.133;38.526;0;31.804;0;35.765;0;106.096;1.367.063;0;17.933.291;NA;8,04%;9,12%;12,73%;448.332;NA%;7,17%
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;;I;2;INDAIATUBA;SP;09/2024;2.513.070;0;2.513.070;0;2.513.070;15.587.538;771.828;0;0;0;0;0;771.828;890.535;0;17.249.902;23.297.705;14,57%;14,57%;14,57%;431.248;10,79%;0,28%
VOLVO - PRUDENCIAL;1000080769;b2;S3;;C;2;CURITIBA;PR;09/2024;3.454.684;0;3.454.684;0;3.454.684;15.201.354;0;0;0;0;0;0;0;1.197.465;0;16.398.819;16.360.126;21,07%;21,07%;21,07%;409.970;21,12%;15,30%
STONE IP - PRUDENCIAL;1000084686;n1;S4;3;C;2;SAO PAULO;SP;09/2024;1.944.989;508.724;2.453.713;0;2.453.713;3.819.791;77.075;0;0;0;87.980;0;165.055;611.508;11.685.759;16.282.113;NA;11,95%;15,07%;15,07%;203.526;NA%;NA%
AGIBANK - PRUDENCIAL;1000083694;b1;S3;;C;2;CAMPINAS;SP;09/2024;1.874.987;0;1.874.987;356.794;2.231.780;13.906.005;117;0;21.227;0;0;0;21.344;2.279.834;0;16.207.182;26.197.611;11,57%;11,57%;13,77%;405.180;7,16%;33,43%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;1;I;2;SAO PAULO;SP;09/2024;2.704.035;0;2.704.035;0;2.704.035;14.194.653;26.079;13.442;0;0;0;0;39.521;1.323.579;0;15.557.753;22.220.935;17,38%;17,38%;17,38%;777.888;12,17%;7,95%
CCB - PRUDENCIAL;1000080295;b1;S3;1;C;2;SAO PAULO;SP;09/2024;1.952.481;926.177;2.878.658;0;2.878.658;12.508.413;70.458;0;45.692;3.222;616;0;119.989;1.722.276;0;14.350.678;23.509.447;13,61%;20,06%;20,06%;358.767;12,24%;0,68%
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;1;C;2;SAO PAULO;SP;09/2024;2.349.178;0;2.349.178;0;2.349.178;12.926.084;0;0;0;0;11.969;0;11.969;1.286.461;0;14.224.513;18.650.529;16,52%;16,52%;16,52%;355.613;12,60%;0,04%
BOCOM - PRUDENCIAL;1000084624;b1;S3;;C;2;SALVADOR;BA;09/2024;1.308.024;203.851;1.511.875;650.613;2.162.488;12.195.327;229.459;467;9.409;0;146.694;0;386.028;1.501.000;0;14.082.355;32.771.789;9,29%;10,74%;15,36%;352.059;4,61%;0,58%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;1;C;2;BELO HORIZONTE;MG;09/2024;1.766.970;76.095;1.843.066;451.193;2.294.259;12.277.303;3.912;0;4.079;2.076;6.491;0;16.558;1.424.012;0;13.717.873;25.297.236;12,88%;13,44%;16,72%;342.947;7,29%;26,05%
BANESTES - PRUDENCIAL;1000080147;b1;S3;1;C;1;VITORIA;ES;09/2024;1.907.908;0;1.907.908;0;1.907.908;11.168.198;2.323;0;3.057;0;0;0;5.380;2.354.758;606;13.528.943;31.805.893;14,10%;14,10%;14,10%;338.224;6,00%;18,04%
SCANIA - PRUDENCIAL;1000080776;b2;S4;;C;2;SAO BERNARDO DO CAMPO;SP;09/2024;1.524.017;0;1.524.017;0;1.524.017;12.817.323;0;0;0;0;0;0;0;548.341;0;13.365.665;16.130.715;11,40%;11,40%;11,40%;334.142;9,45%;0,27%
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;;I;2;PORTO ALEGRE;RS;09/2024;1.225.315;0;1.225.315;452.708;1.678.023;12.496.154;17.813;0;0;0;18.410;0;36.223;671.634;0;13.204.010;15.600.987;9,28%;9,28%;12,71%;330.100;7,85%;3,01%
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;1;I;1;BELEM;PA;09/2024;1.906.787;0;1.906.787;0;1.906.787;11.316.218;16.230;0;3.841;0;0;0;20.071;1.572.516;0;12.908.805;17.521.636;14,77%;14,77%;14,77%;322.720;10,88%;3,33%
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;;C;2;SAO PAULO;SP;09/2024;2.699.204;0;2.699.204;0;2.699.204;10.904.585;326.039;0;8.440;0;726.362;0;1.060.841;859.830;0;12.825.257;34.686.910;21,05%;21,05%;21,05%;320.631;7,78%;0,46%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;;C;2;SAO PAULO;SP;09/2024;3.792.726;0;3.792.726;0;3.792.726;3.394.066;73.168;12;3.847.098;495.447;1.431.194;324.779;6.171.698;2.992.663;0;12.558.427;31.008.771;30,20%;30,20%;30,20%;313.961;12,23%;0,63%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;;I;2;BLUMENAU;SC;09/2024;2.898.554;0;2.898.554;0;2.898.554;9.314.417;0;0;0;0;0;0;0;2.728.639;0;12.043.056;15.114.046;24,07%;24,07%;24,07%;301.076;19,18%;1,38%
GM - PRUDENCIAL;1000080848;b2;S3;;C;2;SAO PAULO;SP;09/2024;2.555.706;0;2.555.706;0;2.555.706;11.218.912;0;0;0;0;0;0;0;582.582;0;11.801.493;15.797.663;21,66%;21,66%;21,66%;295.037;16,18%;3,24%
PINE - PRUDENCIAL;1000080374;b1;S3;;C;2;SAO PAULO;SP;09/2024;1.046.781;51.459;1.098.240;464.724;1.562.964;9.700.440;8.763;40.858;92.574;432;41.063;0;183.690;1.328.092;0;11.212.221;24.973.346;9,34%;9,80%;13,94%;280.306;4,40%;17,23%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;;I;2;BEBEDOURO;SP;09/2024;2.952.072;0;2.952.072;0;2.952.072;9.491.148;0;0;0;0;0;0;0;1.634.455;0;11.125.603;16.826.145;26,53%;26,53%;26,53%;278.140;17,54%;3,51%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;;I;2;SERTAOZINHO;SP;09/2024;1.577.453;0;1.577.453;0;1.577.453;9.359.506;0;0;0;0;0;0;0;904.991;0;10.264.497;13.147.657;15,37%;15,37%;15,37%;256.612;12,00%;6,53%
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;;I;2;SAO PAULO;SP;09/2024;2.698.591;0;2.698.591;0;2.698.591;6.849.473;142.361;35;1.490.616;0;245.009;168.235;2.046.256;1.190.018;0;10.085.748;19.730.233;26,76%;26,76%;26,76%;252.144;13,68%;0,91%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;1;C;2;SAO PAULO;SP;09/2024;6.405.169;0;6.405.169;0;6.405.169;4.499.501;5.653;18;2.217;16;0;274;8.179;5.481.813;0;9.989.494;8.119.242;64,12%;64,12%;64,12%;499.475;78,89%;0,38%
HONDA - PRUDENCIAL;1000080611;b2;S4;;C;2;SAO PAULO;SP;09/2024;3.184.361;0;3.184.361;0;3.184.361;8.847.513;0;0;0;0;569.035;0;569.035;493.330;0;9.909.877;13.759.714;32,13%;32,13%;32,13%;495.494;23,14%;0,27%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;;I;2;LUCAS DO RIO VERDE;MT;09/2024;1.571.693;0;1.571.693;32.580;1.604.272;9.351.746;115.139;0;0;0;3.017;0;118.156;105.845;0;9.575.747;14.010.581;16,41%;16,41%;16,75%;239.394;11,22%;6,81%
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;;C;2;SAO PAULO;SP;09/2024;1.416.299;0;1.416.299;0;1.416.299;8.584.146;0;0;0;0;17.731;0;17.731;497.968;0;9.099.845;14.574.679;15,56%;15,56%;15,56%;227.496;9,72%;2,71%
SOFISA - PRUDENCIAL;1000080271;b1;S3;1;C;2;SAO PAULO;SP;09/2024;1.081.375;111.496;1.192.871;0;1.192.871;8.234.427;55.999;0;48.666;0;0;0;104.665;537.508;0;8.876.599;16.224.814;12,18%;13,44%;13,44%;221.915;7,35%;10,09%
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;;C;2;SAO PAULO;SP;09/2024;2.369.821;0;2.369.821;0;2.369.821;6.456.007;216.993;234;338.974;0;122.005;0;678.206;888.402;0;8.022.615;14.917.347;29,54%;29,54%;29,54%;200.565;15,89%;0,13%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S4;;I;2;MARINGA;PR;09/2024;1.241.373;0;1.241.373;94.497;1.335.870;7.632.378;1.677;0;0;0;0;0;1.677;268.742;0;7.902.798;13.907.625;15,71%;15,71%;16,90%;197.570;8,93%;26,70%
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;;I;1;BELO HORIZONTE;MG;09/2024;1.911.760;0;1.911.760;0;1.911.760;6.748.939;71.773;0;594;0;89.923;0;162.289;907.403;0;7.818.631;10.124.904;24,45%;24,45%;24,45%;195.466;18,88%;0,80%
