Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;06/2024;11.954;5.774.815;6.557.961;932.885;-406;932.479;0;0;0;0;0;19.034.926;3.564;3.738;32.319.437;0;32.319.437
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;06/2024;18.836;1.610.980;16.853.186;1.566.344;0;1.566.344;0;0;0;0;0;11.932.764;484;76.272;32.058.865;0;32.058.865
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S4;C;3;SAO PAULO;SP;06/2024;17.734;4.040.289;2.643.361;243.491;-4.191;239.300;1.192;385.232;71.290;-5.034;452.681;23.206.657;2.204;6.222;30.608.448;71.290;30.537.158
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;06/2024;161.413;3.667.043;11.712.817;13.295.423;-71.197;13.224.226;0;0;0;0;0;1.400.738;35.721;57.624;30.259.583;0;30.259.583
TERRA INVESTIMENTOS DTVM - PRUDENCIAL;1000084514;n2;S4;C;2;SAO PAULO;SP;06/2024;3.310;3.257.472;23.940.102;0;0;0;0;0;0;0;0;17.841;26.421;11.551;27.256.697;0;27.256.697
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;06/2024;109.917;1.369.627;7.021.462;1.162.005;-6.669;1.155.336;0;0;0;0;0;15.751.097;1.348.912;77.297;26.833.646;0;26.833.646
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;06/2024;336.980;4.291.118;3.731.725;1.024.874;0;1.024.874;0;0;0;0;0;17.165.845;6.599;14.645;26.571.787;0;26.571.787
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2024;945.403;6.019.435;9.556.704;5.797.355;-7.831;5.789.524;0;0;0;0;0;3.554.680;8.994;27.143;25.901.882;0;25.901.882
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;06/2024;168.692;823.715;245.874;20.944.176;-1.676.573;19.267.602;777;117.039;35.817;-3.163;150.470;4.960.354;122.910;18.323;25.757.940;35.817;25.722.123
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;06/2024;55.840;1.100.496;11.708.084;8.599.213;-190.224;8.408.988;0;0;0;0;0;2.838.647;772.282;258.647;25.142.983;0;25.142.983
