Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;06/2025;5.157;27.499;276.823;121.440;16.050.338;-629.610;0;0;15.420.727;16.996;-237;0;16.758;2.513.819;-41.407;0;0;2.472.413;0;0;0;1.116.572;16.034;19.473.424
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;06/2025;9.064;10.306.562;4.617.564;1.551.572;1.107.485;0;0;0;1.107.485;0;0;0;0;233.338;-509;0;0;232.830;0;0;0;559.596;39.183;18.423.855
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;06/2025;9.538;339.677;14.310;0;16.117.134;-408.953;0;0;15.708.181;6.317;-91;0;6.226;0;0;0;0;0;0;0;0;616.204;563.931;17.258.068
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;06/2025;44.882;1.397.581;2.392.508;0;6.827.905;-399.767;0;0;6.428.139;0;0;0;0;2.288.513;-41.563;0;0;2.246.951;0;0;0;3.904.689;118.355;16.533.104
SCANIA - PRUDENCIAL;1000080776;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;06/2025;6.393;198.000;3.413;0;16.119.877;-632.745;0;0;15.487.132;48.078;-644;0;47.434;137.068;0;0;0;137.068;0;0;0;589.524;9.618;16.478.581
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;06/2025;1.716;958.598;3.062.625;331.346;10.547.970;-845.833;0;0;9.702.137;0;0;0;0;0;0;0;0;0;0;0;0;2.315.324;61.368;16.433.114
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;06/2025;13.749;13.183.302;2.137.048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.576;347.738;15.690.413
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;06/2025;59.598;0;637.442;0;9.340.303;-979.490;0;0;8.360.814;0;0;0;0;165.469;-133.107;0;0;32.363;0;0;0;6.239.441;45.787;15.375.445
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;06/2025;56;402.513;79.121;0;12.388.878;-292.479;0;0;12.096.399;63.308;-10;0;63.298;0;0;0;0;0;0;0;0;2.547.723;87.827;15.276.938
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;06/2025;35.515;411.859;12.613.427;817.738;62.348;-873;0;0;61.475;0;0;0;0;445.924;-21.205;0;0;424.719;0;0;0;253.492;21.868;14.640.092
